#year	age	fj
1999	13	1.387
1999	14	1.152
1999	15	0.696
1999	16	0.376
1999	17	0.231
1999	18	0.113
1999	19	0.02
1999	20	0.049
1999	21	0.036
1999	22	0.03
1999	23	0.002
1999	24	0
1999	25	0
2000	2	2.28
2000	3	4.93
2000	4	4.376
2000	5	4.274
2000	6	6.172
2000	7	4.405
2000	8	3.66
2000	9	3.244
2000	10	3.326
2000	11	3.158
2000	12	2.761
2000	13	2
2000	14	1.39
2000	15	0.608
2000	16	0.425
2000	17	0.431
2000	18	0.14
2000	19	0.081
2000	20	0.094
2000	21	0.01
2000	22	0.027
2000	23	0.022
2000	24	0
2000	25	0
2001	2	2.284
2001	3	3.497
2001	4	4.993
2001	5	4.241
2001	6	3.725
2001	7	3.883
2001	8	4.897
2001	9	3.286
2001	10	2.101
2001	11	3.572
2001	12	2.225
2001	13	1.522
2001	14	0.989
2001	15	0.879
2001	16	0.214
2001	17	0.177
2001	18	0.174
2001	19	0.116
2001	20	0.021
2001	21	0.044
2001	22	0.039
2001	23	0.002
2001	24	0
2001	25	0
2002	2	2.617
2002	3	4.466
2002	4	4.836
2002	5	5.768
2002	6	3.61
2002	7	2.975
2002	8	3.35
2002	9	3.304
2002	10	2.822
2002	11	2.456
2002	12	2.596
2002	13	1.781
2002	14	1.051
2002	15	0.78
2002	16	0.291
2002	17	0.252
2002	18	0.135
2002	19	0.069
2002	20	0.017
2002	21	0.005
2002	22	0.035
2002	23	0.002
2002	24	0
2002	25	0
2003	2	1.981
2003	3	4.54
2003	4	4.136
2003	5	4.909
2003	6	5.284
2003	7	3.378
2003	8	3.389
2003	9	3.695
2003	10	3.469
2003	11	2.358
2003	12	2.092
2003	13	2.534
2003	14	1.489
2003	15	1.052
2003	16	0.358
2003	17	0.211
2003	18	0.108
2003	19	0.072
2003	20	0.085
2003	21	0.051
2003	22	0.003
2003	23	0.03
2003	24	0.017
2003	25	0.023
2004	2	1.04
2004	3	2.414
2004	4	3.774
2004	5	4.496
2004	6	3.665
2004	7	3.368
2004	8	2.775
2004	9	2.366
2004	10	3.135
2004	11	1.696
2004	12	1.682
2004	13	1.202
2004	14	1.191
2004	15	0.772
2004	16	0.426
2004	17	0.117
2004	18	0.096
2004	19	0.086
2004	20	0.011
2004	21	0.014
2004	22	0.002
2004	23	0.001
2004	24	0
2004	25	0
2005	2	1.717
2005	3	3.197
2005	4	3.782
2005	5	4.001
2005	6	3.481
2005	7	3.401
2005	8	3.157
2005	9	2.547
2005	10	1.959
2005	11	2.841
2005	12	1.737
2005	13	1.468
2005	14	1.103
2005	15	1.002
2005	16	0.458
2005	17	0.326
2005	18	0.101
2005	19	0.061
2005	20	0.064
2005	21	0.005
2005	22	0.002
2005	23	0.001
2005	24	0
2005	25	0
2006	2	1.189
2006	3	1.791
2006	4	2.522
2006	5	2.988
2006	6	3.763
2006	7	3.123
2006	8	2.846
2006	9	3.167
2006	10	2.355
2006	11	1.853
2006	12	1.597
2006	13	1.466
2006	14	0.82
2006	15	0.975
2006	16	0.488
2006	17	0.4
2006	18	0.1
2006	19	0.02
2006	20	0.06
2006	21	0.036
2006	22	0.034
2006	23	0.002
2006	24	0.001
2006	25	0
2007	2	1.732
2007	3	2.234
2007	4	1.77
2007	5	2.471
2007	6	2.706
2007	7	3.241
2007	8	2.814
2007	9	2.664
2007	10	2.345
2007	11	1.676
2007	12	1.993
2007	13	1.256
2007	14	1.18
2007	15	0.78
2007	16	0.622
2007	17	0.614
2007	18	0.295
2007	19	0.054
2007	20	0.031
2007	21	0.083
2007	22	0.039
2007	23	0.002
2007	24	0
2007	25	0
2008	2	1.633
2008	3	2.728
2008	4	2.218
2008	5	2.37
2008	6	2.831
2008	7	2.66
2008	8	3.18
2008	9	2.583
2008	10	2.247
2008	11	2.196
2008	12	1.523
2008	13	1.656
2008	14	1.418
2008	15	1.069
2008	16	1.113
2008	17	0.417
2008	18	0.555
2008	19	0.328
2008	20	0.07
2008	21	0.074
2008	22	0.003
2008	23	0.002
2008	24	0
2008	25	0
2009	2	2.339
2009	3	2.737
2009	4	2.182
2009	5	1.855
2009	6	1.618
2009	7	2.181
2009	8	2.055
2009	9	1.804
2009	10	1.968
2009	11	1.397
2009	12	1.769
2009	13	1.115
2009	14	0.785
2009	15	0.983
2009	16	0.681
2009	17	0.436
2009	18	0.199
2009	19	0.242
2009	20	0.094
2009	21	0.075
2009	22	0.044
2009	23	0.001
2009	24	0
2009	25	0
2010	2	1.229
2010	3	2.006
2010	4	2.4
2010	5	2.522
2010	6	1.77
2010	7	1.289
2010	8	1.787
2010	9	1.278
2010	10	1.694
2010	11	1.046
2010	12	1.188
2010	13	1.007
2010	14	0.494
2010	15	0.535
2010	16	0.493
2010	17	0.426
2010	18	0.304
2010	19	0.101
2010	20	0.115
2010	21	0.035
2010	22	0.098
2010	23	0.001
2010	24	0.018
2010	25	0.019
2011	2	0.954
2011	3	1.389
2011	4	1.47
2011	5	1.966
2011	6	1.763
2011	7	1.451
2011	8	1.264
2011	9	1.311
2011	10	1.022
2011	11	1.448
2011	12	1.05
2011	13	0.831
2011	14	0.645
2011	15	0.753
2011	16	0.454
2011	17	0.408
2011	18	0.248
2011	19	0.114
2011	20	0.066
2011	21	0.089
2011	22	0.024
2011	23	0.062
2011	24	0
2011	25	0
2012	2	1.031
2012	3	1.923
2012	4	2.047
2012	5	1.833
2012	6	1.855
2012	7	1.529
2012	8	1.333
2012	9	1.42
2012	10	1.431
2012	11	1.464
2012	12	1.278
2012	13	1.044
2012	14	0.693
2012	15	0.613
2012	16	0.424
2012	17	0.34
2012	18	0.469
2012	19	0.17
2012	20	0.022
2012	21	0.061
2012	22	0.017
2012	23	0.001
2012	24	0
2012	25	0
2013	2	2.33
2013	3	1.736
2013	4	2.292
2013	5	1.763
2013	6	2.546
2013	7	2.136
2013	8	1.665
2013	9	1.7
2013	10	1.339
2013	11	1.352
2013	12	0.977
2013	13	1.172
2013	14	0.766
2013	15	0.648
2013	16	0.637
2013	17	0.33
2013	18	0.304
2013	19	0.143
2013	20	0.119
2013	21	0.09
2013	22	0.05
2013	23	0.024
2013	24	0.029
2013	25	0
2014	2	2.387
2014	3	2.569
2014	4	2.029
2014	5	2.014
2014	6	1.981
2014	7	1.807
2014	8	2.056
2014	9	1.907
2014	10	1.408
2014	11	1.058
2014	12	1.417
2014	13	0.765
2014	14	0.819
2014	15	0.569
2014	16	0.491
2014	17	0.472
2014	18	0.345
2014	19	0.066
2014	20	0.092
2014	21	0.082
2014	22	0.026
2014	23	0.037
2014	24	0
2014	25	0
2015	2	1.331
2015	3	2.024
2015	4	1.6
2015	5	1.839
2015	6	1.602
2015	7	1.214
2015	8	1.95
2015	9	2.034
2015	10	1.502
2015	11	1.734
2015	12	1.204
2015	13	1.025
2015	14	0.704
2015	15	0.587
2015	16	0.531
2015	17	0.217
2015	18	0.217
2015	19	0.07
2015	20	0.049
2015	21	0.062
2015	22	0.011
2015	23	0.001
2015	24	0
2015	25	0
2016	2	1.863
2016	3	3.537
2016	4	2.711
2016	5	3.579
2016	6	2.133
2016	7	2.107
2016	8	1.816
2016	9	2.278
2016	10	2.405
2016	11	2.146
2016	12	1.738
2016	13	1.082
2016	14	0.709
2016	15	0.561
2016	16	0.223
2016	17	0.303
2016	18	0.263
2016	19	0.117
2016	20	0.041
2016	21	0.006
2016	22	0.033
2016	23	0.032
2016	24	0.001
2016	25	0
2017	2	1.498
2017	3	2.558
2017	4	2.992
2017	5	2.342
2017	6	2.112
2017	7	2.001
2017	8	1.839
2017	9	1.88
2017	10	1.754
2017	11	1.812
2017	12	1.138
2017	13	1.296
2017	14	0.714
2017	15	0.616
2017	16	0.356
2017	17	0.275
2017	18	0.127
2017	19	0.162
2017	20	0.166
2017	21	0.019
2017	22	0.017
2017	23	0.001
2017	24	0
2017	25	0
2018	2	1.241
2018	3	2.442
2018	4	2.565
2018	5	2.361
2018	6	2.262
2018	7	1.655
2018	8	1.698
2018	9	1.743
2018	10	1.563
2018	11	1.835
2018	12	2.285
2018	13	1.285
2018	14	0.755
2018	15	0.777
2018	16	0.738
2018	17	0.344
2018	18	0.211
2018	19	0.281
2018	20	0.13
2018	21	0.029
2018	22	0.002
2018	23	0.017
2018	24	0
2018	25	0
2019	2	1.811
2019	3	2.617
2019	4	2.663
2019	5	2.925
2019	6	2.274
2019	7	2.025
2019	8	2.022
2019	9	1.531
2019	10	1.21
2019	11	1.339
2019	12	1.053
2019	13	1.006
2019	14	1.001
2019	15	0.611
2019	16	0.708
2019	17	0.289
2019	18	0.343
2019	19	0.14
2019	20	0.226
2019	21	0.039
2019	22	0.004
2019	23	0.025
2019	24	0
2019	25	0
2020	2	1.603
2020	3	2.237
2020	4	2.705
2020	5	2.294
2020	6	1.933
2020	7	1.693
2020	8	1.686
2020	9	1.718
2020	10	1.559
2020	11	1.66
2020	12	1.496
2020	13	1.183
2020	14	0.897
2020	15	0.503
2020	16	0.435
2020	17	0.252
2020	18	0.136
2020	19	0.096
2020	20	0.069
2020	21	0.039
2020	22	0.002
2020	23	0.001
2020	24	0
2020	25	0
2021	2	3.788
2021	3	4.061
2021	4	3.356
2021	5	3.421
2021	6	3.213
2021	7	2.447
2021	8	2.233
2021	9	2.091
2021	10	2.283
2021	11	1.892
2021	12	1.44
2021	13	0.913
2021	14	1.177
2021	15	0.49
2021	16	0.487
2021	17	0.367
2021	18	0.217
2021	19	0.053
2021	20	0.096
2021	21	0.011
2021	22	0.004
2021	23	0.002
2021	24	0
2021	25	0
