#year	age	fj
2006	10	0.25
2006	11	0.03
2006	12	0.04
2006	13	0.04
2006	14	0
2007	1	0
2007	2	0.06
2007	3	0.31
2007	4	1.75
2007	5	3.27
2007	6	0.82
2007	7	1.64
2007	8	0.71
2007	9	0.29
2007	10	0.16
2007	11	0.11
2007	12	0.08
2007	13	0.02
2007	14	0
2008	1	0.01
2008	2	0.08
2008	3	2.26
2008	4	1.81
2008	5	2.88
2008	6	4.05
2008	7	0.62
2008	8	0.79
2008	9	0.34
2008	10	0.15
2008	11	0.09
2008	12	0.12
2008	13	0.03
2008	14	0.02
2009	1	0.01
2009	2	0.21
2009	3	2.45
2009	4	1.85
2009	5	0.69
2009	6	0.91
2009	7	0.84
2009	8	0.12
2009	9	0.26
2009	10	0.15
2009	11	0.03
2009	12	0.04
2009	13	0
2009	14	0.02
2010	1	0
2010	2	0.07
2010	3	1.24
2010	4	5.07
2010	5	2.55
2010	6	0.64
2010	7	0.61
2010	8	0.47
2010	9	0.07
2010	10	0.12
2010	11	0.06
2010	12	0.07
2010	13	0.06
2010	14	0.02
2011	1	0
2011	2	0.15
2011	3	3.84
2011	4	4.24
2011	5	3.1
2011	6	1.17
2011	7	0.41
2011	8	0.39
2011	9	0.44
2011	10	0.17
2011	11	0.1
2011	12	0.09
2011	13	0.06
2011	14	0.05
2012	1	0.02
2012	2	0.02
2012	3	1.77
2012	4	12.01
2012	5	6.75
2012	6	2.76
2012	7	0.63
2012	8	0.17
2012	9	0.38
2012	10	0.5
2012	11	0.13
2012	12	0.12
2012	13	0.05
2012	14	0.06
2013	1	0.01
2013	2	0.11
2013	3	4.28
2013	4	7.57
2013	5	6.85
2013	6	4.67
2013	7	2.58
2013	8	1.12
2013	9	0.3
2013	10	0.43
2013	11	0.35
2013	12	0.2
2013	13	0.13
2013	14	0.01
2014	1	0.01
2014	2	0.03
2014	3	0.39
2014	4	3.89
2014	5	3.74
2014	6	2.02
2014	7	0.87
2014	8	0.42
2014	9	0.15
2014	10	0.11
2014	11	0.17
2014	12	0.18
2014	13	0.07
2014	14	0.08
2015	1	0.06
2015	2	0.04
2015	3	1.08
2015	4	1.93
2015	5	3.22
2015	6	1.73
2015	7	0.82
2015	8	0.72
2015	9	0.66
2015	10	0.43
2015	11	0.25
2015	12	0.22
2015	13	0.17
2015	14	0.14
2016	1	0.02
2016	2	0.05
2016	3	3.17
2016	4	16.21
2016	5	2.75
2016	6	2.27
2016	7	1.08
2016	8	0.53
2016	9	0.44
2016	10	0.28
2016	11	0.13
2016	12	0.18
2016	13	0.16
2016	14	0.1
2017	1	0.01
2017	2	0.02
2017	3	1.48
2017	4	6.67
2017	5	14.64
2017	6	3.03
2017	7	1.68
2017	8	0.87
2017	9	0.45
2017	10	0.3
2017	11	0.23
2017	12	0.1
2017	13	0.07
2017	14	0.06
2018	1	0.01
2018	2	0.03
2018	3	0.5
2018	4	17.92
2018	5	10.5
2018	6	15.28
2018	7	1.51
2018	8	0.84
2018	9	0.43
2018	10	0.32
2018	11	0.24
2018	12	0.2
2018	13	0.09
2018	14	0.03
